file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0112_774726_to_778603,ཨ་ནས་གྲོགས་མོ་མཉམ་དུ་འཆམ་པོ་བསྡད་ཀི་ཡོད་བས། ང་གྲོགས་པོ་མཉམ་དུ་ཨེ་འདྲའི་འཆམ་པོ་འགྲོ་ཡི་ཡོད། ཝའེན།  ,a nas grogs mo mnyam du 'cham po bsdad ki yod bas/_nga grogs po mnyam du e 'dra'i 'cham po 'gro yi yod/_wa'en/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0112_774726_to_778603.wav,STT_CS,3,98,3.877,wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0112_774726_to_778603.wav,ཨ་ནས་གྲོགས་མོ་མཉམ་དུ་འཆམ་པོ་བསྡད་ཀྱི་ཡོད་བེ། ང་གྲོགས་མོ་མཉམ་དུ་ཨེ་འདྲའི་འཆམ་པོ་འགྲོ་ཡི་ཡོན། ཝནྀ།
STT_CS-L-2013_2012-P_P-D_D-B05_B01-5_4-R_R-01_0036_274479_to_279957,ཁོ་ཀ་ཅི་ཨ་ཅག་དེ་ག་བ། ཨ། ཨ་ཅག་དེ་ཡིས་འཁྱེར་སོང་ངེ་། ཅོ་ཅོ་བསྒར་ན་སྐད་སྐད་ཡག་པོ་གོ་གི་མིན་འདུག་ལབ་སོང་།  ,kho ka ci a cag de ga ba/_a/_a cag de yis 'khyer song nge /_co co bsgar na skad skad yag po go gi min 'dug lab song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2012-P_P-D_D-B05_B01-5_4-R_R-01_0036_274479_to_279957.wav,STT_CS,3,103,5.478,wav16k/STT_CS-L-2013_2012-P_P-D_D-B05_B01-5_4-R_R-01_0036_274479_to_279957.wav,ག་བ ཨ་ཅག་དེ་ག་བར། ཨ། ད་ཋི་སི་ླེབ་སོང་། ཇོ་ཇོ་ག་ནང་ྐད་ཡག་པོ་གོ་གི་མི་འདུག་ལབ་སོང་།
STT_TT00695_0283_1654598_to_1659590,དེ་ཡིན་ཙང་། སོ་སོ་ཡ་རབས་མ་རབས་ཟེར་ཡ་དང་། སོ་སོ་མིའི་དཀྱིལ་ལ་ཡར་འདོན་ཡ་དེ་སོ་སོ་རང་གིས་བྱེད་དགོས་རེད།  ,de yin tsang /_so so ya rabs ma rabs zer ya dang /_so so mi'i dkyil la yar 'don ya de so so rang gis byed dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0283_1654598_to_1659590.wav,STT_TT,3,102,4.992,wav16k/STT_TT00695_0283_1654598_to_1659590.wav,དེ་ཙང་། སོ་སོ་ཡ་རབས་མ་རབས་ཟེར་ཡ་དང། སོ་སོ་མིའི་དཀྱིལ་ལ་ཡ་དོན་ཡ་དེ། སོ་སོ་རང་གིས་བྱེད་དགོས་རེད།
STT_CS-L-2012_2013-M_M-D_D-B01_B01-4_4-R_R-01_0308_2115981_to_2122500,ཆག་རྒྱོ་རེད། ཨ་ནས་ཌཱངསྀར་གཅིག་པོ་བཞག་རྒྱོ་རེད། མོ་སེམས་ལ་ཨེ་འདྲའི་དྲན་བསྡད་ཡོད་རེད་ད། ད་མོ་གདོན་འདྲེ་ཆགས་རེད་ད་རཱ།  ,chag rgyo red/_a nas DAngas-ir gcig po bzhag rgyo red/_mo sems la e 'dra'i dran bsdad yod red da/_da mo gdon 'dre chags red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2013-M_M-D_D-B01_B01-4_4-R_R-01_0308_2115981_to_2122500.wav,STT_CS,3,116,6.519,wav16k/STT_CS-L-2012_2013-M_M-D_D-B01_B01-4_4-R_R-01_0308_2115981_to_2122500.wav,ཆགས་རྒྱོ་རེད། ཨ་ནས་ཌཱན་སྀ་གཅིག་པོ་བཞག་རྒྱོ་རེད། མོ་སེམས་ལ་ཨེ་འདྲའི་དྲན་བསྡད་ཡོད་རེད་དརཱ། མཐའ་མ་གདོན་འདྲེ་ཆགས་རེད་ད་རཱ།
STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0091_633105_to_635995,ང་རང་བཤད། ཁྱོད་ད་གིན་ཨ།  ,nga rang bshad/_khyod da gin a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0091_633105_to_635995.wav,STT_CS,3,25,2.89,wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0091_633105_to_635995.wav,ང་རང་བཤད། ཁྱོད་ད་གིན་ཨ།
STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0046_326391_to_333218,གྲོགས་མོ་ཡིས་རཱ་རྔན་པ་སྤྲད་ཀྱི་འདུག་གེ གྲོགས་མོ་ཡིས་ཨེ་འདྲའི་མང་པོ་རྔན་པ་སྤྲད་ཀྱི་རེད་ཝེ། དེ་གང་ཚང་ངའི་གྲོགས་མོ་ཡིས་སྤྲད་དགོས་རེད།  ,grogs mo yis rA rngan pa sprad kyi 'dug ge_grogs mo yis e 'dra'i mang po rngan pa sprad kyi red we/_de gang tshang nga'i grogs mo yis sprad dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0046_326391_to_333218.wav,STT_CS,3,132,6.827,wav16k/STT_CS-L-2015_2012-M_M-D_D-B01_B03-3_3-R_R-01_0046_326391_to_333218.wav,གྲོགས་མོ་ཡོད་རཱ། ང རྔན་པ་སྤྲད་ཀྱི་ཡོད་འདུག། ངགྲོགས་མོ་ཨེ་འདྲའི་མང་པོ་རྔན་པ་སྤྲད་ཀྱི་ཡོད། ཝཡེ། ཨ་ནསརེ་སྒང་ཚང་ངའི་གྲོགས་མོ་སྤྲད་ཀྱི་ཡོད་རེད།
STT_CS-L-2015_2012-P_P-D_D-B01_B07-1_6-R_R-01a_0011_122858_to_130947,རེ་ཁོརཌྀར་འདི་ལེགས་བཟང་ལ་སྤྲད་ཡག་ཡིན། ཁྱོད་རང་སྐོར་ལ། དང་ཤོས་མིང་ལབ། ང་མིང་བསྟན་འཛིན་ལེགས་བཟང་ཡིན། ཁྱོད་ག་བ་ནས་སླེབས་ཡིན།  ,re khoraD-ir 'di legs bzang la sprad yag yin/_khyod rang skor la/_dang shos ming lab/_nga ming bstan 'dzin legs bzang yin/_khyod ga ba nas slebs yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2012-P_P-D_D-B01_B07-1_6-R_R-01a_0011_122858_to_130947.wav,STT_CS,3,123,8.089,wav16k/STT_CS-L-2015_2012-P_P-D_D-B01_B07-1_6-R_R-01a_0011_122858_to_130947.wav,རེ་ཁོར་ཌྀར་འདི་ལེགས་བཟང་ལ་སྤྲདཡན། ཁྱོད་རང་སྐོར་ལ། དང་ཤོས་མིང་ལ། ང་མིང་བསྟན་འཛིན་ལེགས་བཟང་ཡིན། ཁྱོད་ག་བ་ནས་སླེབས་ཡིན།
STT_PC0036_0209_1263530_to_1267370,ཧོབ་སྟེ་ཁག་པོ་རེད་དེ་ད་ཡིན་ནས་ལས་ག་རེ་ཟེར་ན་རྒྱ་ནག་ནང་ལོགས་ཀི་འཕོ་འགྱུར་ཟེར་ཡ་དང་།  ,hob ste khag po red de da yin nas las ga re zer na rgya nag nang logs ki 'pho 'gyur zer ya dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0036_0209_1263530_to_1267370.wav,STT_PC,3,84,3.84,wav16k/STT_PC0036_0209_1263530_to_1267370.wav,ཧོབ་སྟེ་ཁག་པོ་རེད་དེ། ད་ཡིན་ནས་ལས་ག་རེད་ཟེར་ན། རྒྱ་ནག་ནང་ལོགས་ཀི་འཕོ་འགྱུར་ཟེར་ཡ་དང་།
STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0228_1693984_to_1701919,རྒན་ལགས་ངས་བྲིས་ཡིན་ད་མདང་དགོང་ཚོགས་ཐེངས་ལ་རྒན་ལགས་མི་འདུག་རྒན་ལགས།  ,rgan lags ngas bris yin da mdang dgong tshogs thengs la rgan lags mi 'dug rgan lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0228_1693984_to_1701919.wav,STT_CS,3,69,7.935,wav16k/STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0228_1693984_to_1701919.wav,རྒན་ལགས་ངས་བྲིས་རིན་། རྒན་ལགས་གྲང་པོ་ཚོགས་ཐེངས་ལ།
STT_CS-L-2015_2015-M_M-D_D-B01_B01-4_4-R_R-01_0084_555988_to_561016,རྡོ་གཞུས་ཡིན། ཧཧཧ། ངའི་རྨོ་རྨོ་མིང་ག་རེད། རྨོ་རྨོ་མིང།  ,rdo gzhus yin/_hahaha/_nga'i rmo rmo ming ga red/_rmo rmo ming/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2015-M_M-D_D-B01_B01-4_4-R_R-01_0084_555988_to_561016.wav,STT_CS,3,56,5.028,wav16k/STT_CS-L-2015_2015-M_M-D_D-B01_B01-4_4-R_R-01_0084_555988_to_561016.wav,རྡོ་སུ་ཡིན། ཧི། རྨོ་རྨོ་མིང་ག་རེ། རྨོ་རྨོི་མིང་།
STT_CS-L-2012_2013-M_M-D_D-B01_B01-2_2-R_R-01_0029_199883_to_205177,འདི་རྒྱབ་ལ་ལཱསྀཋྀ། ང་ཚོ་རྩེད་མོ་རྩེད་ཡི་ཡོད་རེད། འདི་ལ་ང་ཚོ།  ,'di rgyab la lAs-iTh-i/_nga tsho rtsed mo rtsed yi yod red/_'di la nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2013-M_M-D_D-B01_B01-2_2-R_R-01_0029_199883_to_205177.wav,STT_CS,3,62,5.294,wav16k/STT_CS-L-2012_2013-M_M-D_D-B01_B01-2_2-R_R-01_0029_199883_to_205177.wav,དི་རྒྱབ་ལབ་རག་སོ། ང་ཚོ་རྩེད་མོ་རྩེ་ཡོད་རེད། འདི་ལ་ང་ཚོ།
STT_PC0038_0093_612997_to_615365,ལྷག་པར་དུ་ད་བོད་མི་རིགས་སྤྱི་ལ་ཡ་ཨེ་ནས་ ,lhag par du da bod mi rigs spyi la ya e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0038_0093_612997_to_615365.wav,STT_PC,3,40,2.368,wav16k/STT_PC0038_0093_612997_to_615365.wav,ལྷག་པར་དུ་ད་བོད་མི་རིགས་སྤྱི་ལ་ཡ་ཨེ་ནས་
STT_CS-L-2012_2010-M_P-D_D-B03_B07-5_6-R_R-01_0404_3569820_to_3572926,ཚར་སོང་ངེ་། ད་འདི་ག་ཚང་མ་ཉར། ཉར་ལབ་ཡིན།  ,tshar song nge /_da 'di ga tshang ma nyar/_nyar lab yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2010-M_P-D_D-B03_B07-5_6-R_R-01_0404_3569820_to_3572926.wav,STT_CS,3,41,3.106,wav16k/STT_CS-L-2012_2010-M_P-D_D-B03_B07-5_6-R_R-01_0404_3569820_to_3572926.wav,ཚར་སོང་ངེ། ད་འདི་ག་ཚང་མ་ཉར་སོང་། ཉར་ལབ་ཡིན།
STT_TT00695_0278_1623831_to_1626487,ཕ་མ་གཞན་གི་བུ་གུ་དེ་ཚོར། མི་དེའི་མཉམ་དུ་རྒྱུགས་ཨ་ཟེར་གི་རེད།  ,pha ma gzhan gi bu gu de tshor/_mi de'i mnyam du rgyugs a zer gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0278_1623831_to_1626487.wav,STT_TT,3,62,2.656,wav16k/STT_TT00695_0278_1623831_to_1626487.wav,ཕ་མ་གཞན་གི་པུ་གུ་དེ་ཚོ་ མི་དེ་མཉམ་དུ་རྒྱུགས་ཨ་ཟེར་གི་རེད།
STT_PC0019_0152_859983_to_863823,ད་སྨྲ་བརྗོད་རང་དབང་ལ་ཡ་རྡོག་རོལ་གཏང་ཡ་དང་། དཀའ་ངལ་ཞེ་བོ་ཅིག་འཕྲད་ཀི་ཡོད་རེད་དེ་ལས།  ,da smra brjod rang dbang la ya rdog rol gtang ya dang /_dka' ngal zhe bo cig 'phrad ki yod red de las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0019_0152_859983_to_863823.wav,STT_PC,3,84,3.84,wav16k/STT_PC0019_0152_859983_to_863823.wav,ད་སྨྲ་བརྗོད་རང་དབང་ལ་ཡ་རྡོག་རོལ་གཏང་ཡ་དང་། དཀའ་ངལ་ཞེ་བོ་ཅིག་འཕྲད་ཀི་ཡོད་རེད་དེ་ལས།
STT_NS_M0431_0218_1658558_to_1662448,སོ་སོ་ཡིས་ད་མི་མཉམ་དུ་ད་སྐད་ཆ་བཤད་སྟངས་དང་མི་མཉམ་དུ་བསྟུན་སྟངས་དང་།  ,so so yis da mi mnyam du da skad cha bshad stangs dang mi mnyam du bstun stangs dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0431_0218_1658558_to_1662448.wav,STT_NS,3,69,3.89,wav16k/STT_NS_M0431_0218_1658558_to_1662448.wav,སོ་སོ་ཡིས་ད་མི་མཉམ་དུ་ད་སྐད་ཆ་བཤད་སྟངས་དང་། མི་མཉམ་དུ་བསྟུན་སྟངས་དང་།
STT_TT00695_0013_85638_to_91493,ཨང་ད་དེ་རིང་། ངས་ཞུ་ཡ་དེ། ད་གཙོ་བོ་ནང་ཆོས་དང་འབྲེལ་གི་ཡོད་བ་ཡིན་ཙང་།  ,ang da de ring /_ngas zhu ya de/_da gtso bo nang chos dang 'brel gi yod ba yin tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0013_85638_to_91493.wav,STT_TT,3,70,5.855,wav16k/STT_TT00695_0013_85638_to_91493.wav,ཨ། ད་དེ་རིང་ངས་ཞུ་ཡ་དེ། ད་གཙོ་བོ་ནང་ཆོས་དང་འབྲེལ་གི་ཡོད་བ་ཡིན་ཙང་།
STT_CS-L-2016_2017-M_M-D_D-B02_B01-2_2-R_R-01_0185_1530998_to_1538498,མཱེ་སྒོར་མོ་ཉི་ཤུ་བྱས་པ། ཌེསྀ་ཀ་ཨ་ལོ་པུ་རི། ངས་ཁོ་ལ་ལན་བསྐུར་ཡིན་ད།  ,me+A sgor mo nyi shu byas pa/_Des-i ka a lo pu ri/_ngas kho la lan bskur yin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2017-M_M-D_D-B02_B01-2_2-R_R-01_0185_1530998_to_1538498.wav,STT_CS,3,69,7.5,wav16k/STT_CS-L-2016_2017-M_M-D_D-B02_B01-2_2-R_R-01_0185_1530998_to_1538498.wav,མེ་སྒོར་མོ་ཉི་ཤུ་བྱས་པ། ཌ་སྀ་་ལུ་པུ་རི་། ངས་ཁོ་ར་ཨཱེན་སྐུར་ལ།
STT_TT00695_0002_13080_to_17278,ཨེ་ནས། དང་པོ་ཀུན་སློང་ཡག་པོ་ཅིག་འཁྱེར་དགོས་ཡ་དེ། དཔེ་མི་སྲིད་གལ་ཆེན་པོ་རེད།  ,e nas/_dang po kun slong yag po cig 'khyer dgos ya de/_dpe mi srid gal chen po red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0002_13080_to_17278.wav,STT_TT,3,77,4.198,wav16k/STT_TT00695_0002_13080_to_17278.wav,ཨེ་ནས། དང་པོ་ཀུན་སློང་ཡག་པོ་ཅིག་ཁེལ་དགོས་ཡ་དེ། དཔེ་མི་སྲིད་གལ་ཆེན་པོ་རེད།
STT_CS-X-2014-P-D-B06-4-R-02_0004_28905_to_35778,ག་རེ་རེད། ང་མཉམ་དུ་རྩེད་མོ་རྩེ་གར་ཡོང་ཐུབ་ས་རེད་བེ་ལབ་ཀྱི་རེད། རྗེས་ལ་ཡོད་བ། ཨ་ནས་ངས་ཡོང་ཐུབ་ས་མ་རེད་ལབ་ཡིན། ཏིས་སི་རིང་གར་ལས་ཀ་བྱེད་བསྡད་ཡོད། ཨ་ལས།  ,ga re red/_nga mnyam du rtsed mo rtse gar yong thub sa red be lab kyi red/_rjes la yod ba/_a nas ngas yong thub sa ma red lab yin/_tis si ring gar las ka byed bsdad yod/_a las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2014-P-D-B06-4-R-02_0004_28905_to_35778.wav,STT_CS,3,150,6.873,wav16k/STT_CS-X-2014-P-D-B06-4-R-02_0004_28905_to_35778.wav,ང་ཡང་ང་མཉམ་དུ་རྩེད་མོ་རྩེ་ན་ཡོང་ཐུབ་ས་རེད་ལབ་ྱིརེད། ཕྱི་ལོག་རཱ། ཨཉི་ཤ་སྟོང་ཐུབ་ཐུ་མ་ལབ་། ཏིག་ཙ་ལས་ཀ་བྱེད་བསྡད་ཡོད་བ། ག་ལས།
STT_CS-D-2013-M-D-B04-4-R-04_0100_712875_to_718692,བུ་མོ་གཅིག་འདུག་ག་ཕར་སིན་ཌྀར་རའེ་ལཱ། ཁོ་ལ་ཨེ་འདྲའི་ལབ་རེད། ཁོ་ཕར་འགྲོ་ནས་ཁོ།  ,bu mo gcig 'dug ga phar sin D-ir ra'e lA/_kho la e 'dra'i lab red/_kho phar 'gro nas kho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B04-4-R-04_0100_712875_to_718692.wav,STT_CS,3,78,5.817,wav16k/STT_CS-D-2013-M-D-B04-4-R-04_0100_712875_to_718692.wav,བུ་མོ་གཅིག་འདུག་ག ཕར་སིམ་ྲ་ལ་ས་། ཁོ་ལ་མ་ད། ཁོ་ཕར་འགྲོ་ནས་ཁོ།
STT_NS_M0289_0236_1389641_to_1392124,ཝེ། བཀྱག་ཡ་མི་འདུག་ད་ལབ་ཡ་གཅིག་ཡོད་བ། ཡ་ཡུད་ཇོཀཱ་ཡོད་རེད།  ,we/_bkyag ya mi 'dug da lab ya gcig yod ba/_ya yud jokA yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0236_1389641_to_1392124.wav,STT_NS,3,59,2.483,wav16k/STT_NS_M0289_0236_1389641_to_1392124.wav,ཝ་ཡེ། བཀྱག་ཡ་མི་འདུག་ད་ལབ་ཡ་ཅིག་ཡོད་བ་ྱེན་པ་་ར།
STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0115_684360_to_689863,སྒོ་ཨ་ནས་མོ་ཡིས་སྒོ་འགུལ་ཀྱོག་ལངས་རྒྱོ་མཐོང་རཱ། མོ་ཁཱཔ་བྷོརཌྀ་སྒོ་རྒྱབ་ག་འགྲོ་ཡི་རེད་ད་རཱ། ཡང་བསྐྱར་མོ།  ,sgo a nas mo yis sgo 'gul kyog langs rgyo mthong rA/_mo khApa b+horaD-i sgo rgyab ga 'gro yi red da rA/_yang bskyar mo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0115_684360_to_689863.wav,STT_CS,3,105,5.503,wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0115_684360_to_689863.wav,སྒོ། ཨ་ནས་མོ་ཡིས་སྒོ་འགོ་ྐྱི་སལངས་རྒྱོ་མཐོང་རཱ། མོ་ཁ་པར་སྒོ་རྒྱག་གར་འགྲོ་ཡི་རེད་ད་རཱ། ཡང་བསྐྱར་མོ།
STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0085_596869_to_598913,སྐད་དེ་ཁྱེད་རང་ཚོས་ད་ག་སེ་གོ་ཡི་ཡོད་ཀྱི་རེད་དགོང་ད།  ,skad de khyed rang tshos da ga se go yi yod kyi red dgong da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0085_596869_to_598913.wav,STT_CS,3,53,2.044,wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B03-5_5-R_R-01_0085_596869_to_598913.wav,སྐད་དེ་ཁྱེད་རང་ཚོ་ད་ག་སེ་གོ་ཡི་ཡོད་ཀྱི། དགོང་ད
STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0129_951622_to_957758,གཡར་གེ་ཀུ་ཅི། རྒྱལ་བ་ཀུ་ཅི། པད་མཚོ།  ,g.yar ge ku ci/_rgyal ba ku ci/_pad mtsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0129_951622_to_957758.wav,STT_CS,3,37,6.136,wav16k/STT_CS-L-2013_2013-P_M-D_D-B06_B07-5_5-R_R-01_0129_951622_to_957758.wav,རྒྱ་ཀུ་ཅི། ལོ་བ་ཀུ་ཅི། ། པད་མཚོ།
